feature,missing_count,total_count,missing_rate,missing_band
feature_000,6,1567,0.0038289725590299937,low_under_10pct
feature_001,7,1567,0.004467134652201659,low_under_10pct
feature_002,14,1567,0.008934269304403318,low_under_10pct
feature_003,14,1567,0.008934269304403318,low_under_10pct
feature_004,14,1567,0.008934269304403318,low_under_10pct
feature_005,14,1567,0.008934269304403318,low_under_10pct
feature_006,14,1567,0.008934269304403318,low_under_10pct
feature_007,9,1567,0.00574345883854499,low_under_10pct
feature_008,2,1567,0.0012763241863433313,low_under_10pct
feature_009,2,1567,0.0012763241863433313,low_under_10pct
feature_010,2,1567,0.0012763241863433313,low_under_10pct
feature_011,2,1567,0.0012763241863433313,low_under_10pct
feature_012,2,1567,0.0012763241863433313,low_under_10pct
feature_013,3,1567,0.0019144862795149968,low_under_10pct
feature_014,3,1567,0.0019144862795149968,low_under_10pct
feature_015,3,1567,0.0019144862795149968,low_under_10pct
feature_016,3,1567,0.0019144862795149968,low_under_10pct
feature_017,3,1567,0.0019144862795149968,low_under_10pct
feature_018,3,1567,0.0019144862795149968,low_under_10pct
feature_019,10,1567,0.006381620931716656,low_under_10pct
feature_020,0,1567,0.0,low_under_10pct
feature_021,2,1567,0.0012763241863433313,low_under_10pct
feature_022,2,1567,0.0012763241863433313,low_under_10pct
feature_023,2,1567,0.0012763241863433313,low_under_10pct
feature_024,2,1567,0.0012763241863433313,low_under_10pct
feature_025,2,1567,0.0012763241863433313,low_under_10pct
feature_026,2,1567,0.0012763241863433313,low_under_10pct
feature_027,2,1567,0.0012763241863433313,low_under_10pct
feature_028,2,1567,0.0012763241863433313,low_under_10pct
feature_029,2,1567,0.0012763241863433313,low_under_10pct
feature_030,2,1567,0.0012763241863433313,low_under_10pct
feature_031,2,1567,0.0012763241863433313,low_under_10pct
feature_032,1,1567,0.0006381620931716656,low_under_10pct
feature_033,1,1567,0.0006381620931716656,low_under_10pct
feature_034,1,1567,0.0006381620931716656,low_under_10pct
feature_035,1,1567,0.0006381620931716656,low_under_10pct
feature_036,1,1567,0.0006381620931716656,low_under_10pct
feature_037,1,1567,0.0006381620931716656,low_under_10pct
