Time,Pass/Fail,label_name,feature_294,feature_159,feature_510,feature_160,feature_430
2008-07-19 11:55:00,-1,Pass,418.1363,1017.0,64.6707,967.0,18.7673
2008-07-19 12:32:00,-1,Pass,233.9865,568.0,141.4365,59.0,10.4383
2008-07-19 13:17:00,1,Fail,251.4536,562.0,240.7767,788.0,10.3162
2008-07-19 14:43:00,-1,Pass,415.5048,859.0,113.5593,355.0,15.7089
2008-07-19 15:22:00,-1,Pass,319.1252,699.0,148.0663,283.0,12.7642
2008-07-19 17:53:00,-1,Pass,982.8228,2089.0,68.7351,910.0,34.4833
2008-07-19 19:44:00,-1,Pass,1000.9579,2117.0,159.5238,643.0,34.4004
2008-07-19 19:45:00,-1,Pass,106.4973,233.0,79.1209,346.0,4.3184
2008-07-19 20:24:00,-1,Pass,2803.1611,5781.0,138.5827,2900.0,137.7577
2008-07-19 21:35:00,-1,Pass,354.07199999999995,862.0,86.0068,882.0,16.0896
2008-07-19 21:57:00,1,Fail,3153.6764,5655.0,87.1111,2942.0,207.3327
2008-07-19 22:52:00,1,Fail,1081.3385,2352.0,67.9406,597.0,38.5716
2008-07-20 03:35:00,-1,Pass,444.4295,971.0,94.8247,302.0,17.5866
2008-07-21 08:21:00,-1,Pass,1073.8102,2413.0,55.0265,648.0,39.7545
2008-07-21 11:53:00,1,Fail,2863.0,5726.0,125.5385,2478.0,400.0
2008-07-22 00:03:00,-1,Pass,3129.8922,5803.0,263.4538,3530.0,215.3447
2008-07-22 02:59:00,-1,Pass,301.6514,601.0,68.5315,199.0,10.439
2008-07-22 08:41:00,-1,Pass,733.2587,1653.0,89.7338,346.0,29.4521
2008-07-22 11:47:00,-1,Pass,441.7317,1036.0,102.9126,644.0,18.5821
2008-07-22 14:00:00,-1,Pass,432.2865,906.0,349.2063,380.0,16.5653
2008-07-22 15:30:00,-1,Pass,103.8813,227.0,87.8049,339.0,4.172
2008-07-23 05:15:00,-1,Pass,430.2875,1001.0,64.3929,429.0,18.4211
2008-07-23 19:22:00,-1,Pass,286.4628,668.0,42.9066,385.0,12.5794
2008-07-25 15:23:00,1,Fail,3088.6554,5665.0,60.1156,3623.0,212.6302
2008-07-27 04:18:00,-1,Pass,3096.6188,5366.0,60.3279,3130.0,200.0932
2008-07-27 09:37:00,-1,Pass,3151.2826,5913.0,65.8494,3301.0,218.5144
2008-07-27 11:10:00,-1,Pass,243.4904,542.0,48.0962,647.0,9.6583
2008-07-27 15:46:00,-1,Pass,190.1736,455.0,69.6774,420.0,8.4746
2008-07-27 16:06:00,-1,Pass,305.296,724.0,60.6581,812.0,13.8764
2008-07-27 16:49:00,-1,Pass,117.6124,252.0,51.8436,603.0,4.6529
2008-07-27 20:24:00,-1,Pass,243.9242,535.0,49.1677,406.0,9.7264
2008-07-27 22:28:00,-1,Pass,131.5862,310.0,59.4595,261.0,5.6387
